; CO2 concentrations in ppm,
Date,Ca_constrain
1765,20.0000
1766,20.0000
1767,20.0000
1768,20.0000
1769,20.0000
1770,20.0000
1771,20.0000
1772,20.0000
1773,20.0000
1774,20.0000
1775,20.0000
1776,20.0000
1777,20.0000
1778,20.0000
1779,20.0000
1780,20.0000
1781,20.0000
1782,20.0000
1783,20.0000
1784,20.0000
1785,20.0000
1786,20.0000
1787,20.0000
1788,20.0000
1789,20.0000
1790,20.0000
1791,20.0000
1792,20.0000
1793,20.0000
1794,20.0000
1795,20.0000
1796,20.0000
1797,20.0000
1798,20.0000
1799,20.0000
1800,20.0000
1801,20.0000
1802,20.0000
1803,20.0000
1804,20.0000
1805,20.0000
1806,20.0000
1807,20.0000
1808,20.0000
1809,20.0000
1810,20.0000
1811,20.0000
1812,20.0000
1813,20.0000
1814,20.0000
1815,20.0000
1816,20.0000
1817,20.0000
1818,20.0000
1819,20.0000
1820,20.0000
1821,20.0000
1822,20.0000
1823,20.0000
1824,20.0000
1825,20.0000
1826,20.0000
1827,20.0000
1828,20.0000
1829,20.0000
1830,20.0000
1831,20.0000
1832,20.0000
1833,20.0000
1834,20.0000
1835,20.0000
1836,20.0000
1837,20.0000
1838,20.0000
1839,20.0000
1840,20.0000
1841,20.0000
1842,20.0000
1843,20.0000
1844,20.0000
1845,20.0000
1846,20.0000
1847,20.0000
1848,20.0000
1849,20.0000
1850,20.0000
1851,20.0000
1852,20.0000
1853,20.0000
1854,20.0000
1855,20.0000
1856,20.0000
1857,20.0000
1858,20.0000
1859,20.0000
1860,20.0000
1861,20.0000
1862,20.0000
1863,20.0000
1864,20.0000
1865,20.0000
1866,20.0000
1867,20.0000
1868,20.0000
1869,20.0000
1870,20.0000
1871,20.0000
1872,20.0000
1873,20.0000
1874,20.0000
1875,20.0000
1876,20.0000
1877,20.0000
1878,20.0000
1879,20.0000
1880,20.0000
1881,20.0000
1882,20.0000
1883,20.0000
1884,20.0000
1885,20.0000
1886,20.0000
1887,20.0000
1888,20.0000
1889,20.0000
1890,20.0000
1891,20.0000
1892,20.0000
1893,20.0000
1894,20.0000
1895,20.0000
1896,20.0000
1897,20.0000
1898,20.0000
1899,20.0000
1900,20.0000
1901,20.0000
1902,20.0000
1903,20.0000
1904,20.0000
1905,20.0000
1906,20.0000
1907,20.0000
1908,20.0000
1909,20.0000
1910,20.0000
1911,20.0000
1912,20.0000
1913,20.0000
1914,20.0000
1915,20.0000
1916,20.0000
1917,20.0000
1918,20.0000
1919,20.0000
1920,20.0000
1921,20.0000
1922,20.0000
1923,20.0000
1924,20.0000
1925,20.0000
1926,20.0000
1927,20.0000
1928,20.0000
1929,20.0000
1930,20.0000
1931,20.0000
1932,20.0000
1933,20.0000
1934,20.0000
1935,20.0000
1936,20.0000
1937,20.0000
1938,20.0000
1939,20.0000
1940,20.0000
1941,20.0000
1942,20.0000
1943,20.0000
1944,20.0000
1945,20.0000
1946,20.0000
1947,20.0000
1948,20.0000
1949,20.0000
1950,20.0000
1951,20.0000
1952,20.0000
1953,20.0000
1954,20.0000
1955,20.0000
1956,20.0000
1957,20.0000
1958,20.0000
1959,20.0000
1960,20.0000
1961,20.0000
1962,20.0000
1963,20.0000
1964,20.0000
1965,20.0000
1966,20.0000
1967,20.0000
1968,20.0000
1969,20.0000
1970,20.0000
1971,20.0000
1972,20.0000
1973,20.0000
1974,20.0000
1975,20.0000
1976,20.0000
1977,20.0000
1978,20.0000
1979,20.0000
1980,20.0000
1981,20.0000
1982,20.0000
1983,20.0000
1984,20.0000
1985,20.0000
1986,20.0000
1987,20.0000
1988,20.0000
1989,20.0000
1990,20.0000
1991,20.0000
1992,20.0000
1993,20.0000
1994,20.0000
1995,20.0000
1996,20.0000
1997,20.0000
1998,20.0000
1999,20.0000
2000,20.0000
2001,20.0000
2002,20.0000
2003,20.0000
2004,20.0000
2005,20.0000
2006,20.0000
2007,20.0000
2008,20.0000
2009,20.0000
2010,20.0000
2011,20.0000
2012,20.0000
2013,20.0000
2014,20.0000
2015,20.0000
2016,20.0000
2017,20.0000
2018,20.0000
2019,20.0000
2020,20.0000
2021,20.0000
2022,20.0000
2023,20.0000
2024,20.0000
2025,20.0000
2026,20.0000
2027,20.0000
2028,20.0000
2029,20.0000
2030,20.0000
2031,20.0000
2032,20.0000
2033,20.0000
2034,20.0000
2035,20.0000
2036,20.0000
2037,20.0000
2038,20.0000
2039,20.0000
2040,20.0000
2041,20.0000
2042,20.0000
2043,20.0000
2044,20.0000
2045,20.0000
2046,20.0000
2047,20.0000
2048,20.0000
2049,20.0000
2050,20.0000
2051,20.0000
2052,20.0000
2053,20.0000
2054,20.0000
2055,20.0000
2056,20.0000
2057,20.0000
2058,20.0000
2059,20.0000
2060,20.0000
2061,20.0000
2062,20.0000
2063,20.0000
2064,20.0000
2065,20.0000
2066,20.0000
2067,20.0000
2068,20.0000
2069,20.0000
2070,20.0000
2071,20.0000
2072,20.0000
2073,20.0000
2074,20.0000
2075,20.0000
2076,20.0000
2077,20.0000
2078,20.0000
2079,20.0000
2080,20.0000
2081,20.0000
2082,20.0000
2083,20.0000
2084,20.0000
2085,20.0000
2086,20.0000
2087,20.0000
2088,20.0000
2089,20.0000
2090,20.0000
2091,20.0000
2092,20.0000
2093,20.0000
2094,20.0000
2095,20.0000
2096,20.0000
2097,20.0000
2098,20.0000
2099,20.0000
2100,20.0000
2101,20.0000
2102,20.0000
2103,20.0000
2104,20.0000
2105,20.0000
2106,20.0000
2107,20.0000
2108,20.0000
2109,20.0000
2110,20.0000
2111,20.0000
2112,20.0000
2113,20.0000
2114,20.0000
2115,20.0000
2116,20.0000
2117,20.0000
2118,20.0000
2119,20.0000
2120,20.0000
2121,20.0000
2122,20.0000
2123,20.0000
2124,20.0000
2125,20.0000
2126,20.0000
2127,20.0000
2128,20.0000
2129,20.0000
2130,20.0000
2131,20.0000
2132,20.0000
2133,20.0000
2134,20.0000
2135,20.0000
2136,20.0000
2137,20.0000
2138,20.0000
2139,20.0000
2140,20.0000
2141,20.0000
2142,20.0000
2143,20.0000
2144,20.0000
2145,20.0000
2146,20.0000
2147,20.0000
2148,20.0000
2149,20.0000
2150,20.0000
2151,20.0000
2152,20.0000
2153,20.0000
2154,20.0000
2155,20.0000
2156,20.0000
2157,20.0000
2158,20.0000
2159,20.0000
2160,20.0000
2161,20.0000
2162,20.0000
2163,20.0000
2164,20.0000
2165,20.0000
2166,20.0000
2167,20.0000
2168,20.0000
2169,20.0000
2170,20.0000
2171,20.0000
2172,20.0000
2173,20.0000
2174,20.0000
2175,20.0000
2176,20.0000
2177,20.0000
2178,20.0000
2179,20.0000
2180,20.0000
2181,20.0000
2182,20.0000
2183,20.0000
2184,20.0000
2185,20.0000
2186,20.0000
2187,20.0000
2188,20.0000
2189,20.0000
2190,20.0000
2191,20.0000
2192,20.0000
2193,20.0000
2194,20.0000
2195,20.0000
2196,20.0000
2197,20.0000
2198,20.0000
2199,20.0000
2200,20.0000
2201,20.0000
2202,20.0000
2203,20.0000
2204,20.0000
2205,20.0000
2206,20.0000
2207,20.0000
2208,20.0000
2209,20.0000
2210,20.0000
2211,20.0000
2212,20.0000
2213,20.0000
2214,20.0000
2215,20.0000
2216,20.0000
2217,20.0000
2218,20.0000
2219,20.0000
2220,20.0000
2221,20.0000
2222,20.0000
2223,20.0000
2224,20.0000
2225,20.0000
2226,20.0000
2227,20.0000
2228,20.0000
2229,20.0000
2230,20.0000
2231,20.0000
2232,20.0000
2233,20.0000
2234,20.0000
2235,20.0000
2236,20.0000
2237,20.0000
2238,20.0000
2239,20.0000
2240,20.0000
2241,20.0000
2242,20.0000
2243,20.0000
2244,20.0000
2245,20.0000
2246,20.0000
2247,20.0000
2248,20.0000
2249,20.0000
2250,20.0000
2251,20.0000
2252,20.0000
2253,20.0000
2254,20.0000
2255,20.0000
2256,20.0000
2257,20.0000
2258,20.0000
2259,20.0000
2260,20.0000
2261,20.0000
2262,20.0000
2263,20.0000
2264,20.0000
2265,20.0000
2266,20.0000
2267,20.0000
2268,20.0000
2269,20.0000
2270,20.0000
2271,20.0000
2272,20.0000
2273,20.0000
2274,20.0000
2275,20.0000
2276,20.0000
2277,20.0000
2278,20.0000
2279,20.0000
2280,20.0000
2281,20.0000
2282,20.0000
2283,20.0000
2284,20.0000
2285,20.0000
2286,20.0000
2287,20.0000
2288,20.0000
2289,20.0000
2290,20.0000
2291,20.0000
2292,20.0000
2293,20.0000
2294,20.0000
2295,20.0000
2296,20.0000
2297,20.0000
2298,20.0000
2299,20.0000
2300,20.0000
2301,20.0000
2302,20.0000
2303,20.0000
2304,20.0000
2305,20.0000
2306,20.0000
2307,20.0000
2308,20.0000
2309,20.0000
2310,20.0000
2311,20.0000
2312,20.0000
2313,20.0000
2314,20.0000
2315,20.0000
2316,20.0000
2317,20.0000
2318,20.0000
2319,20.0000
2320,20.0000
2321,20.0000
2322,20.0000
2323,20.0000
2324,20.0000
2325,20.0000
2326,20.0000
2327,20.0000
2328,20.0000
2329,20.0000
2330,20.0000
2331,20.0000
2332,20.0000
2333,20.0000
2334,20.0000
2335,20.0000
2336,20.0000
2337,20.0000
2338,20.0000
2339,20.0000
2340,20.0000
2341,20.0000
2342,20.0000
2343,20.0000
2344,20.0000
2345,20.0000
2346,20.0000
2347,20.0000
2348,20.0000
2349,20.0000
2350,20.0000
2351,20.0000
2352,20.0000
2353,20.0000
2354,20.0000
2355,20.0000
2356,20.0000
2357,20.0000
2358,20.0000
2359,20.0000
2360,20.0000
2361,20.0000
2362,20.0000
2363,20.0000
2364,20.0000
2365,20.0000
2366,20.0000
2367,20.0000
2368,20.0000
2369,20.0000
2370,20.0000
2371,20.0000
2372,20.0000
2373,20.0000
2374,20.0000
2375,20.0000
2376,20.0000
2377,20.0000
2378,20.0000
2379,20.0000
2380,20.0000
2381,20.0000
2382,20.0000
2383,20.0000
2384,20.0000
2385,20.0000
2386,20.0000
2387,20.0000
2388,20.0000
2389,20.0000
2390,20.0000
2391,20.0000
2392,20.0000
2393,20.0000
2394,20.0000
2395,20.0000
2396,20.0000
2397,20.0000
2398,20.0000
2399,20.0000
2400,20.0000
2401,20.0000
2402,20.0000
2403,20.0000
2404,20.0000
2405,20.0000
2406,20.0000
2407,20.0000
2408,20.0000
2409,20.0000
2410,20.0000
2411,20.0000
2412,20.0000
2413,20.0000
2414,20.0000
2415,20.0000
2416,20.0000
2417,20.0000
2418,20.0000
2419,20.0000
2420,20.0000
2421,20.0000
2422,20.0000
2423,20.0000
2424,20.0000
2425,20.0000
2426,20.0000
2427,20.0000
2428,20.0000
2429,20.0000
2430,20.0000
2431,20.0000
2432,20.0000
2433,20.0000
2434,20.0000
2435,20.0000
2436,20.0000
2437,20.0000
2438,20.0000
2439,20.0000
2440,20.0000
2441,20.0000
2442,20.0000
2443,20.0000
2444,20.0000
2445,20.0000
2446,20.0000
2447,20.0000
2448,20.0000
2449,20.0000
2450,20.0000
2451,20.0000
2452,20.0000
2453,20.0000
2454,20.0000
2455,20.0000
2456,20.0000
2457,20.0000
2458,20.0000
2459,20.0000
2460,20.0000
2461,20.0000
2462,20.0000
2463,20.0000
2464,20.0000
2465,20.0000
2466,20.0000
2467,20.0000
2468,20.0000
2469,20.0000
2470,20.0000
2471,20.0000
2472,20.0000
2473,20.0000
2474,20.0000
2475,20.0000
2476,20.0000
2477,20.0000
2478,20.0000
2479,20.0000
2480,20.0000
2481,20.0000
2482,20.0000
2483,20.0000
2484,20.0000
2485,20.0000
2486,20.0000
2487,20.0000
2488,20.0000
2489,20.0000
2490,20.0000
2491,20.0000
2492,20.0000
2493,20.0000
2494,20.0000
2495,20.0000
2496,20.0000
2497,20.0000
2498,20.0000
2499,20.0000
2500,20.0000
