; RCP4.5 CO2 concentrations in ppm,
Date,Ca_constrain
1765,278.05158
1766,278.10615
1767,278.22039
1768,278.34305
1769,278.47058
1770,278.60047
1771,278.73275
1772,278.86881
1773,279.00907
1774,279.15318
1775,279.3018
1776,279.4568
1777,279.61808
1778,279.78192
1779,279.9432
1780,280.0974
1781,280.2428
1782,280.38168
1783,280.51832
1784,280.6572
1785,280.8026
1786,280.9568
1787,281.11808
1788,281.28192
1789,281.4432
1790,281.5982
1791,281.74682
1792,281.89093
1793,282.03119
1794,282.16725
1795,282.29901
1796,282.4268
1797,282.55093
1798,282.67123
1799,282.7873
1800,282.89901
1801,283.00677
1802,283.11093
1803,283.21129
1804,283.30737
1805,283.39963
1806,283.48978
1807,283.57796
1808,283.66116
1809,283.73511
1810,283.79676
1811,283.84667
1812,283.88853
1813,283.92613
1814,283.96267
1815,284.00107
1816,284.04267
1817,284.08613
1818,284.12853
1819,284.16667
1820,284.1982
1821,284.22333
1822,284.24427
1823,284.26307
1824,284.28133
1825,284.30027
1826,284.32
1827,284.34
1828,284.36
1829,284.38
1830,284.4
1831,284.385
1832,284.28
1833,284.125
1834,283.975
1835,283.825
1836,283.675
1837,283.525
1838,283.425
1839,283.4
1840,283.4
1841,283.425
1842,283.5
1843,283.6
1844,283.725
1845,283.9
1846,284.075
1847,284.225
1848,284.4
1849,284.575
1850,284.725
1851,284.875
1852,285
1853,285.125
1854,285.275
1855,285.425
1856,285.575
1857,285.725
1858,285.9
1859,286.075
1860,286.225
1861,286.375
1862,286.5
1863,286.625
1864,286.775
1865,286.9
1866,287
1867,287.1
1868,287.225
1869,287.375
1870,287.525
1871,287.7
1872,287.9
1873,288.125
1874,288.4
1875,288.7
1876,289.025
1877,289.4
1878,289.8
1879,290.225
1880,290.7
1881,291.2
1882,291.675
1883,292.125
1884,292.575
1885,292.975
1886,293.3
1887,293.575
1888,293.8
1889,294
1890,294.175
1891,294.325
1892,294.475
1893,294.6
1894,294.7
1895,294.8
1896,294.9
1897,295.025
1898,295.225
1899,295.5
1900,295.8
1901,296.125
1902,296.475
1903,296.825
1904,297.2
1905,297.625
1906,298.075
1907,298.5
1908,298.9
1909,299.3
1910,299.7
1911,300.075
1912,300.425
1913,300.775
1914,301.1
1915,301.4
1916,301.725
1917,302.075
1918,302.4
1919,302.7
1920,303.025
1921,303.4
1922,303.775
1923,304.125
1924,304.525
1925,304.975
1926,305.4
1927,305.825
1928,306.3
1929,306.775
1930,307.225
1931,307.7
1932,308.175
1933,308.6
1934,309
1935,309.4
1936,309.75
1937,310
1938,310.175
1939,310.3
1940,310.375
1941,310.375
1942,310.3
1943,310.2
1944,310.125
1945,310.1
1946,310.125
1947,310.2
1948,310.325
1949,310.5
1950,310.75
1951,311.1
1952,311.5
1953,311.925
1954,312.425
1955,313
1956,313.6
1957,314.225
1958,314.8475
1959,315.5
1960,316.2725
1961,317.075
1962,317.795
1963,318.3975
1964,318.925
1965,319.6475
1966,320.6475
1967,321.605
1968,322.635
1969,323.9025
1970,324.985
1971,325.855
1972,327.14
1973,328.6775
1974,329.7425
1975,330.585
1976,331.7475
1977,333.2725
1978,334.8475
1979,336.525
1980,338.36
1981,339.7275
1982,340.7925
1983,342.1975
1984,343.7825
1985,345.2825
1986,346.7975
1987,348.645
1988,350.7375
1989,352.4875
1990,353.855
1991,355.0175
1992,355.885
1993,356.7775
1994,358.1275
1995,359.8375
1996,361.4625
1997,363.155
1998,365.3225
1999,367.3475
2000,368.865
2001,370.4675
2002,372.5225
2003,374.76
2004,376.8125
2005,378.8125
2006,380.8275
2007,382.7775
2008,384.8
2009,386.9516
2010,389.12785
2011,393.0191285
2012,396.9493198
2013,400.918813
2014,404.9280011
2015,408.9772811
2016,413.0670539
2017,417.1977245
2018,421.3697017
2019,425.5833987
2020,429.8392327
2021,434.1376251
2022,438.4790013
2023,442.8637913
2024,447.2924292
2025,451.7653535
2026,456.2830071
2027,460.8458371
2028,465.4542955
2029,470.1088385
2030,474.8099268
2031,479.5580261
2032,484.3536064
2033,489.1971424
2034,494.0891139
2035,499.030005
2036,504.020305
2037,509.0605081
2038,514.1511132
2039,519.2926243
2040,524.4855505
2041,529.7304061
2042,535.0277101
2043,540.3779872
2044,545.7817671
2045,551.2395848
2046,556.7519806
2047,562.3195004
2048,567.9426954
2049,573.6221224
2050,579.3583436
2051,585.151927
2052,591.0034463
2053,596.9134808
2054,602.8826156
2055,608.9114417
2056,615.0005561
2057,621.1505617
2058,627.3620673
2059,633.635688
2060,639.9720449
2061,646.3717653
2062,652.835483
2063,659.3638378
2064,665.9574762
2065,672.6170509
2066,679.3432215
2067,686.1366537
2068,692.9980202
2069,699.9280004
2070,706.9272804
2071,713.9965532
2072,721.1365188
2073,728.3478839
2074,735.6313628
2075,742.9876764
2076,750.4175532
2077,757.9217287
2078,765.500946
2079,773.1559554
2080,780.887515
2081,780.887515
2082,780.887515
2083,780.887515
2084,780.887515
2085,780.887515
2086,780.887515
2087,780.887515
2088,780.887515
2089,780.887515
2090,780.887515
2091,780.887515
2092,780.887515
2093,780.887515
2094,780.887515
2095,780.887515
2096,780.887515
2097,780.887515
2098,780.887515
2099,780.887515
2100,780.887515
2101,780.887515
2102,780.887515
2103,780.887515
2104,780.887515
2105,780.887515
2106,780.887515
2107,780.887515
2108,780.887515
2109,780.887515
2110,780.887515
2111,780.887515
2112,780.887515
2113,780.887515
2114,780.887515
2115,780.887515
2116,780.887515
2117,780.887515
2118,780.887515
2119,780.887515
2120,780.887515
2121,780.887515
2122,780.887515
2123,780.887515
2124,780.887515
2125,780.887515
2126,780.887515
2127,780.887515
2128,780.887515
2129,780.887515
2130,780.887515
2131,780.887515
2132,780.887515
2133,780.887515
2134,780.887515
2135,780.887515
2136,780.887515
2137,780.887515
2138,780.887515
2139,780.887515
2140,780.887515
2141,780.887515
2142,780.887515
2143,780.887515
2144,780.887515
2145,780.887515
2146,780.887515
2147,780.887515
2148,780.887515
2149,780.887515
2150,780.887515
2151,780.887515
2152,780.887515
2153,780.887515
2154,780.887515
2155,780.887515
2156,780.887515
2157,780.887515
2158,780.887515
2159,780.887515
2160,780.887515
2161,780.887515
2162,780.887515
2163,780.887515
2164,780.887515
2165,780.887515
2166,780.887515
2167,780.887515
2168,780.887515
2169,780.887515
2170,780.887515
