,,,,,Trans,Ref,Diff
1746,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,0,0,0
1747,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,0,0,0
1748,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,0,0,0
1749,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,0,0,0
1750,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,0,0,0
1751,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-5.79449E-05,-5.79449E-05,0
1752,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.000169304,-0.000169304,0
1753,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.000315831,-0.000315831,0
1754,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.000486234,-0.000486234,0
1755,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.000673179,-0.000673179,0
1756,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.000871762,-0.000871762,0
1757,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00107864,-0.00107864,0
1758,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00129153,-0.00129153,0
1759,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00150886,-0.00150886,0
1760,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00172955,-0.00172955,0
1761,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.0019529,-0.0019529,0
1762,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00217843,-0.00217843,0
1763,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00240586,-0.00240586,0
1764,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00263504,-0.00263504,0
1765,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00286589,-0.00286589,0
1766,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00295428,-0.00295428,0
1767,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00279404,-0.00279404,0
1768,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00239946,-0.00239946,0
1769,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00180718,-0.00180718,0
1770,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.00104859,-0.00104859,0
1771,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,-0.000147321,-0.000147321,0
1772,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,0.000881804,0.000881804,0
1773,rcp45_doeclim_co2ppm_transient_conc_in2010_x4,0,temp_doeclim,Tgav,0.00202875,0.00202875,0
