# Output from hector version 1.1
run_name,Year,Ca,Ftot
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1746,287.762,0
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1747,287.426,0
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1748,287.167,0
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1749,286.932,0
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1750,286.709,0
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1751,286.496,-0.00452949
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1752,286.296,-0.00881241
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1753,286.105,-0.0128702
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1754,285.924,-0.0167371
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1755,285.751,-0.0204363
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1756,285.586,-0.0239712
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1757,285.43,-0.0273392
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1758,285.281,-0.0305476
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1759,285.14,-0.033612
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1760,285.006,-0.0365442
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1761,284.878,-0.0393481
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1762,284.757,-0.0420256
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1763,284.642,-0.044583
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1764,284.533,-0.0470293
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1765,284.429,-0.0493719
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1766,284.331,0.0649612
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1767,284.239,0.179324
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1768,284.166,0.142924
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1769,284.118,0.0764318
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1770,284.078,0.0714126
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1771,284.036,0.12329
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1772,283.995,0.157759
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1773,283.965,0.170595
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1774,283.946,0.174924
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1775,283.935,0.175059
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1776,283.929,0.175331
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1777,283.928,0.175719
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1778,283.932,0.176212
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1779,283.939,0.176796
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1780,283.95,0.177464
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1781,283.964,0.178212
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1782,283.982,0.157168
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1783,284.003,0.0662018
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1784,284.026,-0.00724226
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1785,284.04,0.0504241
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1786,284.045,0.13855
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1787,284.055,0.174279
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1788,284.08,0.179653
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1789,284.114,0.0758515
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1790,284.154,-0.0716065
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1791,284.184,-0.0354734
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1792,284.197,0.0965752
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1793,284.209,0.16298
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1794,284.237,0.17282
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1795,284.279,0.152314
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1796,284.328,0.149428
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1797,284.377,0.172797
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1798,284.426,0.191801
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1799,284.479,0.197747
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1800,284.535,0.199388
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1801,284.594,0.201078
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1802,284.654,0.202802
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1803,284.716,0.20456
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1804,284.779,0.206344
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1805,284.842,0.208143
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1806,284.907,0.209959
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1807,284.972,0.2118
rcp45_doeclim_CO2_impulse_100Pg_in2015_timestep_precision,1808,285.038,-0.276334
